id;title;desc;service;classification;pssi;tags;owner;frequency;lastRefresh;pbirsPath;viewcount;adGroups;pbirsUrl
rep-13;Internet - DE;Publication des indicateurs qualité destinés au site internet en allemand.;Qualité;dwh;public;"[""Publication"", ""Ponctualité""]";Gilles Becker;Hebdomadaire;46222,57127;/QUALITE/PUBLIC/OLD/Internet - DE;403;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/PUBLIC/OLD/Internet - DE
rep-14;Internet - EN;Publication des indicateurs qualité destinés au site internet en anglais.;Qualité;dwh;public;"[""Publication"", ""Ponctualité""]";Gilles Becker;Mensuel;46091,23106;/QUALITE/PUBLIC/OLD/Internet - EN;518;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/PUBLIC/OLD/Internet - EN
rep-15;Internet - FR;Publication des indicateurs qualité destinés au site internet en français.;Qualité;dwh;public;"[""Publication"", ""Ponctualité""]";Gilles Becker;Quotidien;46169,87032;/QUALITE/PUBLIC/OLD/Internet - FR;892;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/PUBLIC/OLD/Internet - FR
rep-16;Ponctualité;Présentation publique des résultats de ponctualité du réseau ferroviaire.;Qualité;dwh;public;"[""Publication"", ""Ponctualité""]";Gilles Becker;Hebdomadaire;46115,92717;/QUALITE/PUBLIC/Ponctualité;885;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/PUBLIC/Ponctualité
rep-17;Rapport de publication mensuelle de ponctualité;Rapport mensuel destiné à la communication des performances de ponctualité.;Qualité;dwh;public;"[""Publication"", ""Ponctualité""]";Gilles Becker;Mensuel;46124,32626;/QUALITE/PUBLIC/Rapport de publication mensuelle de ponctualité;887;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/PUBLIC/Rapport de publication mensuelle de ponctualité
rep-18;Qualité des données;Contrôle et suivi de la qualité des données utilisées pour le reporting.;Qualité;dwh;restreint;"[""Qualité des données""]";Sylvain Rauch;Quotidien;46149,80087;/QUALITE/Qualité des données/Qualité des données;943;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/Qualité des données/Qualité des données
rep-19;Vérification des heures BVU;Contrôle de cohérence des horaires et événements enregistrés dans BVU.;Qualité;dwh;interne;"[""Qualité des données""]";Sylvain Rauch;Quotidien;46100,12446;/QUALITE/Qualité des données/Vérification des heures BVU;1827;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/Qualité des données/Vérification des heures BVU
rep-20;Réclamations;Analyse des réclamations clients et de leur évolution dans le temps.;Qualité;dwh;interne;"[""Satisfaction client""]";Gilles Becker;Hebdomadaire;46067,99758;/QUALITE/Réclamations/Réclamations;28;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/Réclamations/Réclamations
rep-21;Roadmap IV;Suivi global des actions et indicateurs liés à l'information voyageurs.;Qualité;dwh;interne;"[""Information voyageurs"", ""Pilotage direction""]";Sylvain Rauch;Quotidien;46069,30387;/QUALITE/ROADMAP IV/Roadmap IV;1516;DW_POWERBI_QUALITE_TBOPERATIONNELS_INFOVOY;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ROADMAP IV/Roadmap IV
rep-22;Roadmap IV - 2024;Suivi des objectifs et réalisations de la Roadmap IV pour l'année 2024.;Qualité;dwh;interne;"[""Information voyageurs"", ""Pilotage direction""]";Sylvain Rauch;Hebdomadaire;46218,73013;/QUALITE/ROADMAP IV/Roadmap IV - 2024;1857;DW_POWERBI_QUALITE_TBOPERATIONNELS_INFOVOY;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ROADMAP IV/Roadmap IV - 2024
rep-23;Roadmap IV - 2025;Suivi des objectifs et réalisations de la Roadmap IV pour l'année 2025.;Qualité;dwh;public;"[""Information voyageurs"", ""Pilotage direction""]";Gilles Becker;Mensuel;46043,25597;/QUALITE/ROADMAP IV/Roadmap IV - 2025;396;DW_POWERBI_QUALITE_TBOPERATIONNELS_INFOVOY;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/ROADMAP IV/Roadmap IV - 2025
rep-24;Barometre Qualite;Suivi des indicateurs de satisfaction et de perception de la qualité de service.;Qualité;dwh;confidentiel;"[""Satisfaction client"", ""Pilotage direction""]";Sylvain Rauch;Quotidien;46035,45123;/QUALITE/Satisfaction Clients/Barometre Qualite;1142;DW_POWERBI_QUALITE_BAROMETRE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/Satisfaction Clients/Barometre Qualite
rep-25;Satisfaction clients des espaces sanitaires;Mesure de la satisfaction des voyageurs concernant les installations sanitaires.;Qualité;dwh;confidentiel;"[""Satisfaction client""]";Gilles Becker;Quotidien;46211,62882;/QUALITE/Satisfaction Clients/Satisfaction clients des espaces sanitaires;1688;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/Satisfaction Clients/Satisfaction clients des espaces sanitaires
rep-26;1 Objectifs;Suivi des objectifs stratégiques et de leur niveau d'atteinte.;Qualité;dwh;confidentiel;"[""Pilotage direction""]";Sylvain Rauch;Quotidien;46111,20149;/QUALITE/TB Direction/1 Objectifs;684;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/1 Objectifs
rep-27;2 Ponctualité et continuité;Tableau de bord des indicateurs de ponctualité et de continuité de service.;Qualité;dwh;public;"[""Pilotage direction"", ""Ponctualité""]";Sylvain Rauch;Quotidien;46048,90617;/QUALITE/TB Direction/2 Ponctualité et continuité;820;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/2 Ponctualité et continuité
rep-28;2b Ponctualité - Commentaires détaillés;Analyse détaillée et commentaires explicatifs des résultats de ponctualité.;Qualité;dwh;confidentiel;"[""Pilotage direction"", ""Ponctualité""]";Gilles Becker;Mensuel;46107,4707;/QUALITE/TB Direction/2b Ponctualité - Commentaires détaillés;260;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/2b Ponctualité - Commentaires détaillés
rep-29;3 Causes de retards et de suppressions - Vue client voyageur;Analyse des retards et suppressions selon leur impact sur les voyageurs.;Qualité;dwh;public;"[""Ponctualité"", ""Satisfaction client""]";Sylvain Rauch;Quotidien;46065,61122;/QUALITE/TB Direction/3 Causes de retards et de suppressions - Vue client voyageur;301;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/3 Causes de retards et de suppressions - Vue client voyageur
rep-30;4 Ponctualité des trains transfrontaliers;Suivi des performances de ponctualité des trains internationaux.;Qualité;dwh;confidentiel;"[""Ponctualité"", ""Coopération externe""]";Sylvain Rauch;Hebdomadaire;46086,66902;/QUALITE/TB Direction/4 Ponctualité des trains transfrontaliers;502;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/4 Ponctualité des trains transfrontaliers
rep-31;5 Rapport Commun CFL-SNCB;Rapport partagé entre CFL et SNCB sur les indicateurs communs de performance.;Qualité;dwh;restreint;"[""Coopération externe"", ""Pilotage direction""]";Sylvain Rauch;Quotidien;46036,46642;/QUALITE/TB Direction/5 Rapport Commun CFL-SNCB;1287;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/5 Rapport Commun CFL-SNCB
rep-32;6 Correspondances train-train;Analyse de la qualité des correspondances entre trains.;Qualité;dwh;restreint;"[""Ponctualité"", ""Satisfaction client""]";Sylvain Rauch;Hebdomadaire;46039,44452;/QUALITE/TB Direction/6 Correspondances train-train;1092;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/6 Correspondances train-train
rep-33;1 Objectifs 2024;Historique du suivi des objectifs stratégiques pour l'année 2024.;Qualité;dwh;public;"[""Pilotage direction""]";Gilles Becker;Quotidien;46186,09696;/QUALITE/TB Direction/Années précédentes/1 Objectifs 2024;170;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/Années précédentes/1 Objectifs 2024
rep-34;1 Objectifs 2025;Historique du suivi des objectifs stratégiques pour l'année 2025.;Qualité;dwh;public;"[""Pilotage direction""]";Sylvain Rauch;Hebdomadaire;46163,0743;/QUALITE/TB Direction/Années précédentes/1 Objectifs 2025;1989;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Direction/Années précédentes/1 Objectifs 2025
rep-35;Indicateurs info voy basés sur les messages UIC;Suivi des indicateurs d'information voyageurs issus des messages UIC.;Qualité;dwh;interne;"[""Information voyageurs"", ""Performance opérationnelle""]";Sylvain Rauch;Hebdomadaire;46190,21106;/QUALITE/TB Opérationnels – Info Voy/Indicateurs info voy basés sur les messages UIC;1654;DW_POWERBI_QUALITE_TBOPERATIONNELS;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Opérationnels – Info Voy/Indicateurs info voy basés sur les messages UIC
rep-36;Info voy app CFL;Analyse de l'information voyageurs diffusée via l'application CFL.;Qualité;dwh;public;"[""Information voyageurs"", ""Satisfaction client""]";Sylvain Rauch;Quotidien;46191,54686;/QUALITE/TB Opérationnels – Info Voy/Info voy app CFL;1154;DW_POWERBI_QUALITE_TBOPERATIONNELS;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Opérationnels – Info Voy/Info voy app CFL
rep-37;Info voy en situation normale;Évaluation de la qualité de l'information voyageurs en exploitation normale.;Qualité;dwh;interne;"[""Information voyageurs"", ""Performance opérationnelle""]";Gilles Becker;Mensuel;46034,15417;/QUALITE/TB Opérationnels – Info Voy/Info voy en situation normale;1100;DW_POWERBI_QUALITE_TBOPERATIONNELS;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Opérationnels – Info Voy/Info voy en situation normale
rep-38;Info voy en situation perturbée;Évaluation de la qualité de l'information voyageurs lors des perturbations.;Qualité;dwh;restreint;"[""Information voyageurs"", ""Performance opérationnelle""]";Gilles Becker;Mensuel;46176,19528;/QUALITE/TB Opérationnels – Info Voy/Info voy en situation perturbée;1951;DW_POWERBI_QUALITE_TBOPERATIONNELS;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Opérationnels – Info Voy/Info voy en situation perturbée
rep-39;Objectifs EF sur les causes de retards et de suppressions;Suivi des objectifs de l'Entreprise Ferroviaire relatifs aux causes de retards et suppressions.;Qualité;dwh;interne;"[""Ponctualité"", ""Pilotage direction""]";Gilles Becker;Mensuel;46133,97229;/QUALITE/TB Opérationnels - Ponctualité/Objectifs EF sur les causes de retards et de suppressions;690;DW_POWERBI_QUALITE_TBOPERATIONNELS;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Opérationnels - Ponctualité/Objectifs EF sur les causes de retards et de suppressions
rep-40;Objectifs GI sur les causes de retards et de suppressions;Suivi des objectifs du Gestionnaire d'Infrastructure relatifs aux causes de retards et suppressions.;Qualité;dwh;restreint;"[""Ponctualité"", ""Infrastructure""]";Gilles Becker;Mensuel;46214,17105;/QUALITE/TB Opérationnels - Ponctualité/Objectifs GI sur les causes de retards et de suppressions;265;DW_POWERBI_QUALITE_TBOPERATIONNELS;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Opérationnels - Ponctualité/Objectifs GI sur les causes de retards et de suppressions
rep-41;Rapport hebdomadaire sur les codes causes;Analyse hebdomadaire de la répartition des causes de retards et suppressions.;Qualité;dwh;restreint;"[""Ponctualité"", ""Performance opérationnelle""]";Sylvain Rauch;Hebdomadaire;46181,15494;/QUALITE/TB Opérationnels - Ponctualité/Rapport hebdomadaire sur les codes causes;1116;DW_POWERBI_QUALITE_TBOPERATIONNELS;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/TB Opérationnels - Ponctualité/Rapport hebdomadaire sur les codes causes
rep-42;Analyse des périodes de travaux;Étude de l'impact des périodes de travaux sur l'exploitation ferroviaire et la qualité de service.;Qualité;dwh;restreint;"[""Infrastructure"", ""Performance opérationnelle""]";Sylvain Rauch;Quotidien;46180,19542;/QUALITE/Travaux/Analyse des périodes de travaux;803;DW_POWERBI_QUALITE;https://powerbi.cfl.lu/reports/powerbi/DW_FOLDER/QUALITE/Travaux/Analyse des périodes de travaux
